;Cidades;Clima_Ranking
308;Velas;18
248;Resende;18
14;Alfandega da Fe;18
57;Bombarral;18
160;Marco de Canaveses;18
244;Regiao de Aveiro;18
303;Vagos;18
329;Vila Vicosa;18
108;Figueira da Foz;17
184;Montemor-o-Velho;17
8;Alcobaca;16
214;Paredes;16
200;Oleiros;16
48;Barcelos;16
99;Esposende;16
336;Vinhais;16
192;Nazare;16
238;Porto de Mos;16
61;Braganca;16
153;Macedo de Cavaleiros;16
257;Santa Cruz;16
290;Tabuaco;15
38;Armamar;15
66;Calheta [R.A.M.];15
65;Calheta [R.A.A.];15
71;Carrazeda de Ansiaes;15
67;Camara de Lobos;15
298;Torre de Moncorvo;15
36;Area Metropolitana do Porto;15
305;Valenca;15
320;Vila Nova de Foz Coa;15
224;Peso da Regua;15
321;Vila Nova de Gaia;15
251;Ribeira de Pena;15
190;Murca;15
228;Ponta do Sol;15
235;Porto;15
236;Porto Moniz;15
176;Moimenta da Beira;15
16;Alijo;15
221;Penedono;15
249;Ribeira Brava;15
323;Vila Nova de Poiares;15
328;Vila Verde;15
155;Madalena;15
325;Vila Real;15
261;Santa Marta de Penaguiao;15
262;Santana;15
143;Lamego;15
135;Ilha do Faial;15
130;Ilha de Porto Santo;15
324;Vila Pouca de Aguiar;15
268;Sao Joao da Pesqueira;15
28;Alvito;14
20;Almeida;14
334;Vila do Porto;14
122;Guarda;14
313;Vieira do Minho;14
105;Felgueiras;14
240;Povoa de Varzim;14
189;Mourao;14
166;Meda;14
164;Matosinhos;14
157;Maia;14
254;Sabugal;14
225;Pinhel;14
109;Figueira de Castelo Rodrigo;14
103;Fafe;14
82;Celorico da Beira;14
302;Trofa;14
62;Cabeceiras de Basto;14
180;Mondim de Basto;14
311;Viana do Castelo;13
68;Caminha;13
178;Moncao;13
187;Mortagua;12
338;Viseu Dao Lafoes;12
203;Oliveira de Frades;12
253;Sabrosa;12
168;Melgaco;12
256;Santa Comba Dao;12
289;Tabua;12
297;Tondela;12
340;Vouzela;12
