01. Ano,02. Nome Região (Portugal),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
2012,Portugal,Total,Nenhum,Trabalhador por conta própria/isolado,,,15.9
2012,Portugal,Total,Secundário e pós-secundário,Total,,,941.2
2012,Portugal,Total,Secundário e pós-secundário,Trabalhador familiar não remunerado,,,6.0
2012,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta de outrem,,,836.7
2012,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,40.5
2012,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,58.0
2012,Portugal,Total,Superior,Total,,,919.8
2012,Portugal,Total,Superior,Trabalhador familiar não remunerado,,x,
2012,Portugal,Total,Superior,Trabalhador por conta de outrem,,,803.1
2012,Portugal,Total,Superior,Trabalhador por conta própria/empregador,,,46.0
2012,Portugal,Total,Superior,Trabalhador por conta própria/isolado,,,68.6
2012,Portugal,Total,Total,Total,,,4217.5
2012,Portugal,Total,Total,Trabalhador familiar não remunerado,,,29.5
2012,Portugal,Total,Total,Trabalhador por conta de outrem,,,3536.4
2012,Portugal,Total,Total,Trabalhador por conta própria/empregador,,,225.9
2012,Portugal,Total,Total,Trabalhador por conta própria/isolado,,,425.7
2013,Portugal,Homens, Básico - 1º Ciclo,Total,,,346.8
2013,Portugal,Homens, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,x,
2013,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,227.6
2013,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,36.5
2013,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,79.3
2013,Portugal,Homens, Básico - 2º Ciclo,Total,,,355.6
2013,Portugal,Homens, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2013,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,281.4
2013,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,27.5
2013,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,45.3
2013,Portugal,Homens, Básico - 3º Ciclo,Total,,,516.1
2013,Portugal,Homens, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,x,
2013,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,429.4
2013,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,32.7
2013,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,49.8
2013,Portugal,Homens,Nenhum,Total,,,33.1
2013,Portugal,Homens,Nenhum,Trabalhador familiar não remunerado,,x,
2013,Portugal,Homens,Nenhum,Trabalhador por conta de outrem,,,23.4
2013,Portugal,Homens,Nenhum,Trabalhador por conta própria/empregador,,x,
2013,Portugal,Homens,Nenhum,Trabalhador por conta própria/isolado,,,8.0
2013,Portugal,Homens,Secundário e pós-secundário,Total,,,496.2
2013,Portugal,Homens,Secundário e pós-secundário,Trabalhador familiar não remunerado,,x,
2013,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta de outrem,,,424.5
2013,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,32.9
2013,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,35.5
2013,Portugal,Homens,Superior,Total,,,369.9
2013,Portugal,Homens,Superior,Trabalhador familiar não remunerado,,x,
2013,Portugal,Homens,Superior,Trabalhador por conta de outrem,,,301.4
2013,Portugal,Homens,Superior,Trabalhador por conta própria/empregador,,,27.9
2013,Portugal,Homens,Superior,Trabalhador por conta própria/isolado,,,40.1
2013,Portugal,Homens,Total,Total,,,2117.7
2013,Portugal,Homens,Total,Trabalhador familiar não remunerado,,,13.4
2013,Portugal,Homens,Total,Trabalhador por conta de outrem,,,1687.7
2013,Portugal,Homens,Total,Trabalhador por conta própria/empregador,,,158.7
2013,Portugal,Homens,Total,Trabalhador por conta própria/isolado,,,258.0
2013,Portugal,Mulheres, Básico - 1º Ciclo,Total,,,287.2
2013,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,,5.5
2013,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,231.7
2013,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,12.2
2013,Portugal,Mulheres, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,37.7
2013,Portugal,Mulheres, Básico - 2º Ciclo,Total,,,233.8
2013,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2013,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,194.7
2013,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,12.8
2013,Portugal,Mulheres, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,23.7
2013,Portugal,Mulheres, Básico - 3º Ciclo,Total,,,392.7
2013,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,x,
2013,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,341.4
2013,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,12.9
2013,Portugal,Mulheres, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,35.7
2013,Portugal,Mulheres,Nenhum,Total,,,29.6
2013,Portugal,Mulheres,Nenhum,Trabalhador familiar não remunerado,,x,
2013,Portugal,Mulheres,Nenhum,Trabalhador por conta de outrem,,,20.0
2013,Portugal,Mulheres,Nenhum,Trabalhador por conta própria/empregador,,x,
2013,Portugal,Mulheres,Nenhum,Trabalhador por conta própria/isolado,,,7.2
2013,Portugal,Mulheres,Secundário e pós-secundário,Total,,,507.1
2013,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador familiar não remunerado,,x,
2013,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta de outrem,,,462.3
2013,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,14.0
2013,Portugal,Mulheres,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,28.6
2013,Portugal,Mulheres,Superior,Total,,,571.4
2013,Portugal,Mulheres,Superior,Trabalhador familiar não remunerado,,x,
2013,Portugal,Mulheres,Superior,Trabalhador por conta de outrem,,,515.6
2013,Portugal,Mulheres,Superior,Trabalhador por conta própria/empregador,,,16.3
2013,Portugal,Mulheres,Superior,Trabalhador por conta própria/isolado,,,38.1
2013,Portugal,Mulheres,Total,Total,,,2021.8
2013,Portugal,Mulheres,Total,Trabalhador familiar não remunerado,,,15.7
2013,Portugal,Mulheres,Total,Trabalhador por conta de outrem,,,1765.8
2013,Portugal,Mulheres,Total,Trabalhador por conta própria/empregador,,,69.3
2013,Portugal,Mulheres,Total,Trabalhador por conta própria/isolado,,,171.1
2013,Portugal,Total, Básico - 1º Ciclo,Total,,,634.0
2013,Portugal,Total, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,,8.9
2013,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,459.3
2013,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,48.7
2013,Portugal,Total, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,117.0
2013,Portugal,Total, Básico - 2º Ciclo,Total,,,589.5
2013,Portugal,Total, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2013,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,476.1
2013,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,40.2
2013,Portugal,Total, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,69.0
2013,Portugal,Total, Básico - 3º Ciclo,Total,,,908.8
2013,Portugal,Total, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,,6.9
2013,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,770.8
2013,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,45.6
2013,Portugal,Total, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,85.5
2013,Portugal,Total,Nenhum,Total,,,62.7
2013,Portugal,Total,Nenhum,Trabalhador familiar não remunerado,,x,
2013,Portugal,Total,Nenhum,Trabalhador por conta de outrem,,,43.5
2013,Portugal,Total,Nenhum,Trabalhador por conta própria/empregador,,x,
2013,Portugal,Total,Nenhum,Trabalhador por conta própria/isolado,,,15.1
2013,Portugal,Total,Secundário e pós-secundário,Total,,,1003.3
2013,Portugal,Total,Secundário e pós-secundário,Trabalhador familiar não remunerado,,,5.5
2013,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta de outrem,,,886.8
2013,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,46.9
2013,Portugal,Total,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,64.2
2013,Portugal,Total,Superior,Total,,,941.3
2013,Portugal,Total,Superior,Trabalhador familiar não remunerado,,x,
2013,Portugal,Total,Superior,Trabalhador por conta de outrem,,,816.9
2013,Portugal,Total,Superior,Trabalhador por conta própria/empregador,,,44.2
2013,Portugal,Total,Superior,Trabalhador por conta própria/isolado,,,78.2
2013,Portugal,Total,Total,Total,,,4139.5
2013,Portugal,Total,Total,Trabalhador familiar não remunerado,,,29.1
2013,Portugal,Total,Total,Trabalhador por conta de outrem,,,3453.5
2013,Portugal,Total,Total,Trabalhador por conta própria/empregador,,,227.9
2013,Portugal,Total,Total,Trabalhador por conta própria/isolado,,,429.0
2014,Portugal,Homens, Básico - 1º Ciclo,Total,,,315.2
2014,Portugal,Homens, Básico - 1º Ciclo,Trabalhador familiar não remunerado,,x,
2014,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta de outrem,,,215.4
2014,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta própria/empregador,,,29.3
2014,Portugal,Homens, Básico - 1º Ciclo,Trabalhador por conta própria/isolado,,,68.0
2014,Portugal,Homens, Básico - 2º Ciclo,Total,,,339.7
2014,Portugal,Homens, Básico - 2º Ciclo,Trabalhador familiar não remunerado,,x,
2014,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta de outrem,,,264.4
2014,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta própria/empregador,,,30.8
2014,Portugal,Homens, Básico - 2º Ciclo,Trabalhador por conta própria/isolado,,,43.7
2014,Portugal,Homens, Básico - 3º Ciclo,Total,,,529.1
2014,Portugal,Homens, Básico - 3º Ciclo,Trabalhador familiar não remunerado,,x,
2014,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta de outrem,,,432.9
2014,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta própria/empregador,,,39.9
2014,Portugal,Homens, Básico - 3º Ciclo,Trabalhador por conta própria/isolado,,,53.0
2014,Portugal,Homens,Nenhum,Total,,,29.5
2014,Portugal,Homens,Nenhum,Trabalhador familiar não remunerado,,x,
2014,Portugal,Homens,Nenhum,Trabalhador por conta de outrem,,,22.6
2014,Portugal,Homens,Nenhum,Trabalhador por conta própria/empregador,,x,
2014,Portugal,Homens,Nenhum,Trabalhador por conta própria/isolado,,,5.6
2014,Portugal,Homens,Secundário e pós-secundário,Total,,,538.9
2014,Portugal,Homens,Secundário e pós-secundário,Trabalhador familiar não remunerado,,x,
2014,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta de outrem,,,467.4
2014,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta própria/empregador,,,29.1
2014,Portugal,Homens,Secundário e pós-secundário,Trabalhador por conta própria/isolado,,,39.9
2014,Portugal,Homens,Superior,Total,,,425.4
2014,Portugal,Homens,Superior,Trabalhador familiar não remunerado,,x,
2014,Portugal,Homens,Superior,Trabalhador por conta de outrem,,,354.1
2014,Portugal,Homens,Superior,Trabalhador por conta própria/empregador,,,34.8
2014,Portugal,Homens,Superior,Trabalhador por conta própria/isolado,,,35.5
2014,Portugal,Homens,Total,Total,,,2177.8
